draw,production_kgco2e
857,4181.14082902289
858,4401.714064715192
859,3737.2818039059703
860,4038.173689979313
861,4278.984458854289
862,4230.724445372714
863,3885.418961562812
864,3774.504731185153
865,4097.112923132116
866,3720.4576900451702
867,4051.717144861762
868,3453.2101686334827
869,3661.2025031390613
870,3814.257107248771
871,3861.9702512484414
872,4096.800975644739
873,4105.362410977043
874,4385.308078411483
875,3896.7661725110847
876,3819.317210625616
877,3995.912863372787
878,3829.1454759636163
879,3770.8308885938536
880,4200.211317976085
881,4003.6552343763055
882,4360.422170673828
883,3363.3943007863263
884,3946.1213760811647
885,4062.4698363877324
886,3878.4377207727616
887,4124.458629159625
888,4102.858791233319
889,4283.896757603981
890,4050.83910243666
891,3801.8457984969255
892,4167.224402572785
893,3912.356932903965
894,3803.8788485712407
895,4118.960236587121
896,4661.985705019702
897,4330.716126459725
898,3838.508844276549
899,3781.349552626417
900,3780.8604751251296
901,3843.368556713335
902,4168.088534833028
903,3796.722101503642
904,3674.174594714529
905,4010.459275742268
906,3685.8495463480267
907,4529.260831739798
908,3550.2415809768554
909,4162.60963112673
910,4060.3997664164353
911,4207.734664246451
912,3601.503072853193
913,4040.8705606222993
914,3795.787170273278
915,3842.1988517012323
916,3712.7435190339265
917,3475.2345477776616
918,3781.485665720744
919,3825.857401108309
920,4502.520983301273
921,4557.059581989706
922,3729.0335423751662
923,3741.827183772414
924,4416.748464321069
925,3735.1327348315326
926,3827.2609727384643
927,3769.5663802970043
928,4068.2957316315387
929,4299.209729745946
930,4158.9744550917885
931,4206.371457310458
932,3637.3173834906365
933,3993.932139145745
934,4460.324097403009
935,3485.2073772635395
936,4337.793010941357
937,3579.948502539797
938,3825.05275788714
939,4282.374548209532
940,4200.16321643962
941,3957.017885272674
942,4249.227649937435
943,3803.5556021801112
944,3921.131967463627
945,3949.890321415601
946,3569.655534342656
947,4328.198615299567
948,4025.593176382834
949,4158.709308638447
950,4046.6713239919054
951,3424.8060994251714
952,3863.663443237518
953,3787.895798675844
954,4369.556182822026
955,3793.4195597788803
956,3739.1317794680435
957,4224.373966381329
958,3935.291296696868
959,4638.062562142879
960,3861.987629767218
961,4048.0547827809114
962,4111.323041986168
963,4038.869665904678
964,4147.173496591355
965,4182.3014653654
966,4173.802491876076
967,4220.414434006316
968,4140.341590503376
969,4214.587119417596
970,3987.1989247700158
971,4219.4876650213955
972,4300.718338276564
973,4038.7273829500436
974,4444.068930022298
975,3509.437093030715
976,3978.1630858426734
977,3816.634505430399
978,4237.357245685796
979,3823.1694487685136
980,4014.731224322846
981,3700.230078114895
982,4363.980241333564
983,4021.8682062037456
984,4061.403731004244
985,3585.413965379009
986,4063.723970530661
987,4039.172528712943
988,3956.050761581364
989,3568.218819483876
990,3370.1736659542985
991,3982.470901501777
992,3622.2927382271864
993,4349.515754681028
994,3857.237024289999
995,3992.0957461207227
996,4018.7455037686805
997,4129.493724914891
998,4092.34219270629
999,3833.5585925164005
1000,4006.9891839881493
1001,4022.4375799654636
1002,4414.21725150109
1003,4198.063453348871
1004,4170.824014440695
1005,3675.429047611905
1006,4496.990732350413
1007,4313.907307572792
1008,3774.6525584244314
1009,3777.1591208190966
1010,3853.6182283427224
1011,3541.904187820498
1012,4204.554963462297
1013,3405.5581113483804
1014,4175.783988090716
1015,4212.968132672697
1016,3933.942607841862
1017,3785.266662875317
1018,4135.271226654659
1019,3642.040812277644
1020,4512.053208411195
1021,3970.258686111782
1022,4064.653929585338
1023,3758.185358982384
1024,4180.5781299785285
1025,4119.070077295661
1026,3838.8888113003345
1027,4728.842669993583
1028,3920.389681551045
1029,4436.837397740024
1030,3937.652619696273
1031,3932.5431971788075
1032,4093.8645249666624
1033,3793.721194757938
1034,4102.847491989358
